GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Sprint_6,praktikum,Feline,0,14,0,0,0,7,0,3,0,3
Sprint_6,praktikum,Cat,0,11,0,0,0,5,0,3,0,3
Sprint_6,praktikum,Lion,0,11,0,0,0,5,0,3,0,3
